"id","symbol","signal","work","work_spot","created_at","updated_at","deleted_at"
"1","XRPUSDT","sell","1","1","2025-07-25 16:16:00","2025-09-04 16:45:34",""
"6","XRPUSDT","sell","1","1","2025-07-25 16:20:00","2025-09-04 16:41:45",""
"9","XRPUSDT","buy","1","1","2025-07-25 16:57:00","2025-09-04 16:41:45",""
"14","XRPUSDT","sell","1","1","2025-07-25 17:01:01","2025-09-04 16:41:45",""
"20","XRPUSDT","sell","1","1","2025-07-25 17:19:00","2025-09-04 16:41:45",""
"33","XRPUSDT","buy","1","1","2025-07-25 17:43:01","2025-09-04 16:41:45",""
"34","XRPUSDT","buy","1","1","2025-07-25 17:44:01","2025-09-04 16:41:45",""
"36","XRPUSDT","buy","1","1","2025-07-25 18:05:00","2025-09-04 16:41:45",""
"47","XRPUSDT","sell","1","1","2025-07-25 18:24:00","2025-09-04 16:41:45",""
"52","XRPUSDT","sell","1","1","2025-07-25 18:35:00","2025-09-04 16:41:45",""
"53","XRPUSDT","sell","1","1","2025-07-25 18:36:00","2025-09-04 16:41:45",""
"62","XRPUSDT","buy","1","1","2025-07-25 19:27:02","2025-09-04 16:41:45",""
"74","XRPUSDT","sell","1","1","2025-07-25 20:05:01","2025-09-04 16:41:45",""
"88","XRPUSDT","sell","1","1","2025-07-25 21:05:01","2025-09-04 16:41:45",""
"92","XRPUSDT","sell","1","1","2025-07-25 21:11:01","2025-09-04 16:41:45",""
"95","XRPUSDT","buy","1","1","2025-07-25 21:21:00","2025-09-04 16:45:54",""
"100","XRPUSDT","buy","1","1","2025-07-25 21:24:00","2025-09-04 16:41:45",""
"110","XRPUSDT","sell","1","1","2025-07-25 21:45:01","2025-09-04 16:41:45",""
"117","XRPUSDT","sell","1","1","2025-07-25 22:35:01","2025-09-04 16:41:45",""
"124","XRPUSDT","buy","1","1","2025-07-25 22:42:00","2025-09-04 16:41:45",""
"127","XRPUSDT","buy","1","1","2025-07-25 22:43:00","2025-09-04 16:41:45",""
"129","XRPUSDT","buy","1","1","2025-07-25 23:06:04","2025-09-04 16:41:45",""
"130","XRPUSDT","buy","1","1","2025-07-25 23:12:01","2025-09-04 16:41:45",""
"132","XRPUSDT","buy","1","1","2025-07-25 23:14:02","2025-09-04 16:41:45",""
"136","XRPUSDT","buy","1","1","2025-07-25 23:35:00","2025-09-04 16:41:45",""
"150","XRPUSDT","buy","1","1","2025-07-26 00:01:01","2025-09-04 16:41:45",""
"153","XRPUSDT","sell","1","1","2025-07-26 00:17:00","2025-09-04 16:41:45",""
"155","XRPUSDT","sell","1","1","2025-07-26 00:24:00","2025-09-04 16:41:45",""
"165","XRPUSDT","sell","1","1","2025-07-26 00:55:03","2025-09-04 16:41:45",""
"166","XRPUSDT","sell","1","1","2025-07-26 00:56:00","2025-09-04 16:41:45",""
"174","XRPUSDT","buy","1","1","2025-07-26 01:23:00","2025-09-04 16:41:45",""
"191","XRPUSDT","buy","1","1","2025-07-26 03:13:02","2025-09-04 16:41:45",""
"193","XRPUSDT","sell","1","1","2025-07-26 03:14:00","2025-09-04 16:41:45",""
"203","XRPUSDT","sell","1","1","2025-07-26 03:43:00","2025-09-04 16:41:45",""
"212","XRPUSDT","sell","1","1","2025-07-26 04:09:00","2025-09-04 16:41:45",""
"225","XRPUSDT","sell","1","1","2025-07-26 04:35:00","2025-09-04 16:41:45",""
"226","XRPUSDT","sell","1","1","2025-07-26 04:37:00","2025-09-04 16:41:45",""
"227","XRPUSDT","sell","1","1","2025-07-26 04:38:04","2025-09-04 16:41:45",""
"235","XRPUSDT","buy","1","1","2025-07-26 04:56:00","2025-09-04 16:41:45",""
"238","XRPUSDT","buy","1","1","2025-07-26 05:00:05","2025-09-04 16:41:45",""
"244","XRPUSDT","sell","1","1","2025-07-26 05:19:01","2025-09-04 16:41:45",""
"247","XRPUSDT","sell","1","1","2025-07-26 05:21:02","2025-09-04 16:41:45",""
"250","XRPUSDT","sell","1","1","2025-07-26 05:26:00","2025-09-04 16:41:45",""
"256","XRPUSDT","sell","1","1","2025-07-26 06:12:01","2025-09-04 16:41:45",""
"259","XRPUSDT","sell","1","1","2025-07-26 06:15:00","2025-09-04 16:41:45",""
"263","XRPUSDT","buy","1","1","2025-07-26 06:34:04","2025-09-04 16:41:45",""
"266","XRPUSDT","sell","1","1","2025-07-26 06:52:00","2025-09-04 16:41:45",""
"270","XRPUSDT","buy","1","1","2025-07-26 07:18:01","2025-09-04 16:41:45",""
"271","XRPUSDT","buy","1","1","2025-07-26 07:19:03","2025-09-04 16:41:45",""
"277","XRPUSDT","sell","1","1","2025-07-26 07:41:00","2025-09-04 16:41:45",""
"280","XRPUSDT","buy","1","1","2025-07-26 08:09:02","2025-09-04 16:41:45",""
"281","XRPUSDT","buy","1","1","2025-07-26 08:10:03","2025-09-04 16:41:45",""
"283","XRPUSDT","buy","1","1","2025-07-26 08:32:01","2025-09-04 16:41:45",""
"284","XRPUSDT","buy","1","1","2025-07-26 08:33:01","2025-09-04 16:41:45",""
"288","XRPUSDT","buy","1","1","2025-07-26 08:46:01","2025-09-04 16:41:45",""
"297","XRPUSDT","sell","1","1","2025-07-26 09:22:01","2025-09-04 16:41:45",""
"298","XRPUSDT","sell","1","1","2025-07-26 09:24:02","2025-09-04 16:41:45",""
"299","XRPUSDT","sell","1","1","2025-07-26 09:27:01","2025-09-04 16:41:45",""
"301","XRPUSDT","buy","1","1","2025-07-26 09:47:00","2025-09-04 16:41:45",""
"303","XRPUSDT","buy","1","1","2025-07-26 09:49:03","2025-09-04 16:41:45",""
"308","XRPUSDT","sell","1","1","2025-07-26 10:14:05","2025-09-04 16:41:45",""
"318","XRPUSDT","buy","1","1","2025-07-26 10:45:00","2025-09-04 16:41:45",""
